node_id,owner,handler,site_id,completion_flag,replay_policy
CW04,plugin,answer_sign,watch_floor,v5_cw04_roster,oracle_idempotent
CW05,discord,answer_resolver,discord_answer,v5_cw05_counterfeit,idempotent
CW06,discord,media_answer,discord_answer,v5_cw06_reeds,idempotent
CW07,plugin,tagged_cache,the_far_water,v5_cw07_cache,idempotent_receipt
CW08,discord,conclusion_resolver,discord_answer,v5_case_c04_complete,artifact_idempotent
BI01,plugin_unlit,house_mechanism,unlit_house_lamp,v5_bi01_lamp,idempotent_state_match
BI02,plugin_unlit,tagged_fragments,unlit_house_cairn,v5_bi02_cairn,return_wrong_and_idempotent
BI03,plugin_unlit,item_arrangement,unlit_house_coop,v5_bi03_coop,idempotent_state_match
BI04,plugin_unlit,reflection_frames,unlit_house_well,v5_bi04_well,idempotent_state_match
BI05,plugin_unlit,answer_sign,unlit_house_watch,v5_bi05_watch,oracle_idempotent
BI06,plugin_unlit,tagged_sample_deposit,unlit_house_warm,v5_bi06_warm,return_wrong_and_idempotent
BI07,plugin_unlit,bounded_group_walk,unlit_house_threshold,v5_bi07_threshold,idempotent_receipt
BI08,discord,conclusion_resolver,discord_answer,v5_case_c05_complete,artifact_idempotent
HS01,plugin,tagged_item_claim,dead_stall,v5_hs01_filter,artifact_idempotent
HS02,plugin,exact_tagged_deposit,offering_cairn_01,v5_hs02_installed,return_wrong_and_idempotent
HS03,plugin,answer_sign,lampworks_stair,v5_hs03_lamps,oracle_idempotent
HS04,plugin,answer_sign,third_lamp_stand,v5_hs04_pressure,oracle_idempotent
HS05,plugin,item_frame_dials,orin_frame_dial_1,v5_hs05_dials,idempotent_state_match
HS06,plugin,bounded_route,painted_line,v5_hs06_passage,artifact_idempotent
HS07,plugin,tagged_key_console,stone_of_reckoning,v5_case_c06_complete,artifact_idempotent
A01,discord,answer_resolver,discord_answer,v5_a01_location,idempotent
A02,plugin,tagged_station_inspection,prior_camp,v5_a02_stations,idempotent_receipt
A03,plugin,container_order,prior_camp,v5_a03_supplies,return_wrong_and_idempotent
A04,plugin,answer_sign,prior_camp,v5_a04_notebook,oracle_idempotent
A05,plugin,item_frame_overlay,prior_camp,v5_a05_overlay,idempotent_state_match
A06,website,route_resolver,copperline_archive_route,v5_a06_route,idempotent
A07,website,automatic_media_reveal,clip_01_ash_locker,v5_a07_clip1,idempotent
A08,discord,media_answer,discord_answer,v5_a08_ash13,idempotent
A09,plugin,tagged_locker,prior_camp,v5_a09_spool,artifact_idempotent
A10,discord,conclusion_resolver,discord_answer,v5_case_c07_complete,idempotent
WR01,plugin,answer_sign,dread_route_start,v5_wr01_quotes,oracle_idempotent
WR02,plugin,tagged_spool_reader,dread_route_elsewhere,v5_wr02_index,idempotent_receipt
WR03,plugin,npc_choice,npc_wren_anchor,v5_wr03_confession,idempotent_dialogue
WR04,plugin,blocked_route,the_threshold,v5_wr04_bridge,artifact_idempotent
WR05,plugin,tagged_group_rite,threshold_vault,v5_case_c08_complete,branch_locked_idempotent
AR01,discord,media_answer,discord_answer,v5_ar01_not_kept,idempotent
AR02,plugin,affidavit_reader,keeper_altar,v5_ar02_a,fragment_idempotent
AR03,plugin,affidavit_reader,keeper_altar,v5_ar03_v,fragment_idempotent
AR04,plugin,affidavit_reader,keeper_altar,v5_ar04_e,fragment_idempotent
AR05,plugin,affidavit_reader,keeper_altar,v5_ar05_r,fragment_idempotent
AR06,plugin,affidavit_reader,keeper_altar,v5_ar06_y,fragment_idempotent
AR07,plugin,affidavit_reader,keeper_altar,v5_ar07_n,fragment_idempotent
AR08,discord,answer_resolver,discord_answer,v5_case_c09_complete,idempotent
RP01,discord,media_answer,discord_answer,v5_rp01_instruction,idempotent
RP02,plugin,tagged_release_configuration,the_unwriting,v5_rp02_configured,return_wrong_and_idempotent
RP03,plugin,protected_choice_markers,the_unwriting,v5_rp03_name_choice,branch_locked_idempotent
RP04,plugin,group_presence_bridge,coop_plate,v5_rp04_collective,idempotent_receipt
RP05,plugin_finale,armed_confirmation,release_record,v5_rp05_severed,durable_before_theater
RP06,plugin_finale,automatic_finale,release_record,v5_case_c10_complete,terminal_coda_idempotent
