book_id,node_id,holder_kind,holder_id,mount,expected_front,availability,book_pdc_id,artifact_id
nessa_disciplinary_draft,CW07,locked_lectern,the_far_water,lectern_center,EAST,visible_when_v5_cw06_reeds,nessa_disciplinary_draft,none
unlit_house_docket,BI01,locked_lectern,unlit_house_base,house_lectern,FACE_APPROACH,visible_when_v5_case_c04_complete,unlit_house_docket,none
systems_service_manual,HS01,locked_lectern,lampworks_stair,lectern_center,NORTH,visible_when_v5_case_c05_complete,systems_service_manual,none
mkept_admin_notebook,A02,locked_lectern,prior_camp,mkept_station,NORTH,visible_when_v5_a01_location,mkept_admin_notebook,none
ash_field_notebook,A04,locked_lectern,prior_camp,ash_station,NORTH,visible_when_v5_a03_supplies,ash_field_notebook,none
rook_route_changes,A10,locked_lectern,prior_camp,rook_station,NORTH,visible_when_v5_a09_spool,rook_route_changes,none
wren_transmission_index,WR02,locked_lectern,dread_route_elsewhere,relay_lectern,WEST,visible_when_v5_a09_spool,wren_transmission_index,none
averyn_cistern_finding,AR01,locked_lectern,unbroken_light,lectern_center,NORTH,visible_when_v5_ar01_not_kept,averyn_cistern_finding,none
release_protocol,RP02,locked_lectern,the_unwriting,lectern_center,NORTH,visible_when_v5_rp01_instruction,release_protocol,none
coda_receipt_publish,RP06,branch_lectern,release_record,record_lectern,NORTH,visible_only_when_v5_coda_publish,coda_receipt_publish,none
coda_receipt_unfiled,RP06,branch_lectern,release_record,record_lectern,NORTH,visible_only_when_v5_coda_unfiled,coda_receipt_unfiled,none
