site_id,room_id,x,y,z,stand_x,stand_y,stand_z,expected_front,content_role
stone_of_reckoning,lower_works,-42,-96,72,-29,-96,72,EAST,required
case_board,prior_case,-80,-96,136,-69,-96,136,EAST,required
prior_camp,prior_camp,-80,-96,188,-52,-96,188,EAST,required
the_threshold,lower_threshold,52,-96,136,39,-96,136,WEST,required
threshold_vault,lower_vault,52,-96,188,40,-96,188,WEST,required
keeper_altar,lower_spine,-16,-96,174,-3,-96,174,EAST,required
coop_plate,lower_spine,16,-96,174,4,-96,174,WEST,required
failed_accepting,lower_spine,0,-96,207,0,-96,184,NORTH,required
dread_route_start,dread,88,-96,132,88,-96,138,SOUTH,dread
dread_route_elsewhere,dread,100,-96,158,94,-96,158,WEST,dread
dread_route_figure,dread,100,-96,190,94,-96,190,WEST,dread
dread_route_exit,dread,88,-96,214,88,-96,208,NORTH,dread
unbroken_light,accepting,0,-96,260,0,-96,233,NORTH,required
the_unwriting,unwriting,0,-96,326,0,-96,305,NORTH,required
